,SiteID,total,count_First,count_Reop,Complics_First,Complics_Reop,PredMM_First_avg,PredMM_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Complics_First_rate,Complics_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
0,101551,753,718,35.0,270,15.0,14.181977715877457,18.642285714285713,125.5,119.66666666666669,5.833333333333332,37.60445682451253,42.857142857142854,2.651566486556554,2.2989210397253554,1.4068449237088485,1.2009569151413713
1,101998,4668,4294,374.0,1778,172.0,12.977184443409437,19.091711229946526,466.8,429.4,37.4,41.40661387983233,45.98930481283423,3.1907240018354672,2.408862372729437,1.673883820649773,1.2683519693951077
2,102499,725,696,29.0,267,13.0,12.101954022988506,17.37344827586207,72.5,69.6,2.9,38.362068965517246,44.827586206896555,3.1699070160608622,2.580235396860052,1.6644405219308172,1.367502689831054
3,102619,614,520,94.0,250,52.0,18.150173076923085,20.831489361702143,61.4,52.0,9.4,48.07692307692308,55.319148936170215,2.64884102609744,2.65555419373289,1.4053612609430495,1.4090129718076518
4,103172,1768,1649,119.0,638,56.0,18.028726500909617,24.499495798319323,176.8,164.9,11.9,38.690115221346275,47.05882352941176,2.1460259669142028,1.9208078368959747,1.1016675328100451,0.9417131948887418
5,104015,543,519,24.0,161,9.0,10.483815028901729,12.667916666666665,206.9,195.3,11.6,31.021194605009633,37.5,2.9589605043097915,2.960234187415716,1.56509043981785,1.565711313576745
6,104096,274,260,14.0,78,3.0,10.770692307692297,11.388571428571428,184.8,165.4,19.4,30.0,21.428571428571427,2.7853362757911455,1.8815855494229805,1.4778515157625096,0.9119488854315476
7,107460,2069,1953,116.0,776,43.0,12.44487455197136,15.997241379310342,158.3,148.6,9.7,39.73374295954941,37.06896551724138,3.1927797097203596,2.317209863769616,1.6748130155896004,1.2123887113191558
8,107526,1848,1654,194.0,670,77.0,16.54111850060461,20.77726804123711,189.2,177.7,11.5,40.507859733978236,39.69072164948454,2.4489190215581607,1.9102955003857807,1.2921450690721636,0.9337958235837058
9,108507,1583,1486,97.0,565,45.0,14.472341857335106,20.17907216494845,219.7,206.1,13.6,38.02153432032301,46.391752577319586,2.6271860280202217,2.2990032543668293,1.3935183596645848,1.2010085082725186
10,109197,1892,1777,115.0,718,44.0,18.069690489589163,21.909043478260884,96.0,90.4,5.6,40.40517726505346,38.26086956521739,2.2360746736825883,1.746350524302054,1.1609683677663856,0.8043431631582632
11,109726,2197,2061,136.0,878,75.0,12.801829209121816,18.412279411764704,189.2,179.2,10.0,42.60067928190199,55.14705882352941,3.327702517039307,2.995123938228564,1.734526468222121,1.5826157029700538
12,110671,960,904,56.0,446,39.0,10.839269911504447,15.849821428571431,109.7,104.5,5.2,49.336283185840706,69.64285714285714,4.551624195046272,4.393920616500861,2.1863814464132365,2.1355088053062317
13,112608,1095,1017,78.0,479,29.0,16.09897738446414,21.873205128205125,69.33333333333333,66.0,3.333333333333333,47.09931170108162,37.17948717948718,2.925608911441386,1.6997731682013473,1.548736926265775,0.765342234042109
14,113652,1892,1792,100.0,730,48.0,12.58699776785713,14.294200000000007,97.7,92.9,4.8,40.736607142857146,48.0,3.2364037790555944,3.3580053448251723,1.6943916120017926,1.7476045265663767
15,113816,1097,1045,52.0,272,15.0,11.038688995215306,15.476153846153844,67.3,62.5,4.8,26.02870813397129,28.846153846153843,2.3579528461444443,1.8639097370644664,1.2375348678877454,0.8983319967719542
16,113870,208,198,10.0,82,5.0,13.91691919191919,20.632,90.9,86.5,4.4,41.41414141414141,50.0,2.975812451234781,2.423419930205506,1.5732836043358096,1.2770444166475976
17,114101,977,929,48.0,364,24.0,13.643530678148549,16.947708333333335,174.1,161.1,13.0,39.181916038751346,50.0,2.871831123706492,2.9502513860035156,1.521970914845334,1.5608378893520336
18,114460,673,625,48.0,239,15.0,14.31699200000001,15.81020833333333,35.0,34.0,1.0,38.24,31.25,2.6709521106109424,1.9765710445519118,1.4173541091053776,0.9829998113582279
19,115160,909,865,44.0,316,18.0,13.101699421965328,17.85272727272727,467.0,440.3,26.7,36.531791907514446,40.909090909090914,2.7883246845266485,2.2914757103574708,1.4793985646076726,1.1962769932258426
