,HospID,surgyear,total surgery count
5899,526985,2019,4759
5898,526985,2018,4453
5897,526985,2017,4180
5890,526985,2010,4133
5896,526985,2016,4068
5893,526985,2013,4061
5894,526985,2014,4025
5891,526985,2011,4000
5892,526985,2012,3941
5895,526985,2015,3924
6555,572639,2015,3243
6556,572639,2016,2316
1740,223052,2010,2157
1743,223052,2013,2119
12109,975321,2019,2081
1746,223052,2016,2049
1742,223052,2012,2019
6557,572639,2017,1998
1741,223052,2011,1993
1744,223052,2014,1981
1747,223052,2017,1899
1745,223052,2015,1893
1748,223052,2018,1848
6558,572639,2018,1844
11769,947167,2019,1746
526,152363,2016,1741
6559,572639,2019,1741
9708,791151,2018,1699
1195,189273,2015,1685
10946,885174,2016,1661
527,152363,2017,1657
11768,947167,2018,1638
9707,791151,2017,1628
9989,812640,2019,1628
9703,791151,2013,1622
10949,885174,2019,1605
9469,772675,2019,1595
525,152363,2015,1594
1197,189273,2017,1586
9706,791151,2016,1582
10330,837313,2010,1577
1198,189273,2018,1570
9702,791151,2012,1565
1194,189273,2014,1563
9988,812640,2018,1561
10945,885174,2015,1561
9704,791151,2014,1553
4477,424257,2017,1549
1196,189273,2016,1542
9705,791151,2015,1533
1193,189273,2013,1529
10948,885174,2018,1527
10944,885174,2014,1525
2768,304840,2018,1522
9701,791151,2011,1515
524,152363,2014,1505
2767,304840,2017,1505
4479,424257,2019,1491
10331,837313,2011,1485
4476,424257,2016,1483
5439,489781,2019,1483
10947,885174,2017,1481
9700,791151,2010,1480
4686,442948,2016,1473
5799,518137,2019,1464
4475,424257,2015,1462
9985,812640,2015,1459
11767,947167,2017,1448
2769,304840,2019,1431
5354,485036,2014,1430
10333,837313,2013,1423
2765,304840,2015,1420
5438,489781,2018,1412
2761,304840,2011,1409
804,170096,2014,1408
2760,304840,2010,1408
803,170096,2013,1406
11019,888137,2019,1398
12108,975321,2018,1398
9986,812640,2016,1397
9467,772675,2017,1395
9468,772675,2018,1395
10943,885174,2013,1395
11766,947167,2016,1394
2763,304840,2013,1393
1192,189273,2012,1379
5353,485036,2013,1376
5355,485036,2015,1374
2766,304840,2016,1370
4688,442948,2018,1370
6554,572639,2014,1369
4478,424257,2018,1361
5437,489781,2017,1356
11248,909233,2018,1355
1240,192850,2010,1352
5356,485036,2016,1351
5436,489781,2016,1350
9987,812640,2017,1350
6995,602900,2015,1348
523,152363,2013,1346
9466,772675,2016,1346
10332,837313,2012,1345
5798,518137,2018,1344
2764,304840,2014,1333
4689,442948,2019,1333
10230,832938,2010,1318
11765,947167,2015,1315
1191,189273,2011,1314
4687,442948,2017,1307
10237,832938,2017,1301
8477,705030,2017,1300
9984,812640,2014,1295
6553,572639,2013,1293
11247,909233,2017,1284
6996,602900,2016,1281
8479,705030,2019,1281
800,170096,2010,1276
802,170096,2012,1276
5435,489781,2015,1272
1700,221364,2010,1271
6994,602900,2014,1271
1241,192850,2011,1268
10238,832938,2018,1262
1190,189273,2010,1259
8478,705030,2018,1259
801,170096,2011,1258
6552,572639,2012,1249
5352,485036,2012,1247
11016,888137,2016,1246
522,152363,2012,1244
8471,705030,2011,1242
11246,909233,2016,1242
8473,705030,2013,1239
10036,818030,2016,1239
528,152363,2018,1237
1199,189273,2019,1237
1070,183144,2010,1236
12107,975321,2017,1236
10239,832938,2019,1235
2762,304840,2012,1234
11764,947167,2014,1224
4932,456109,2012,1220
9709,791151,2019,1215
8472,705030,2012,1213
11587,935752,2017,1213
4933,456109,2013,1207
10233,832938,2013,1206
5797,518137,2017,1200
11245,909233,2015,1199
9465,772675,2015,1197
8474,705030,2014,1194
10236,832938,2016,1193
6993,602900,2013,1192
10942,885174,2012,1186
5463,491146,2013,1183
5351,485036,2011,1182
5357,485036,2017,1181
4025,398051,2015,1173
5358,485036,2018,1173
5359,485036,2019,1171
9198,753402,2018,1168
10334,837313,2014,1167
6407,561265,2017,1162
10234,832938,2014,1160
1079,183144,2019,1154
8470,705030,2010,1154
1613,216249,2013,1153
9983,812640,2013,1153
10235,832938,2015,1152
5350,485036,2010,1150
8476,705030,2016,1150
11244,909233,2014,1149
1078,183144,2018,1148
4023,398051,2013,1142
6406,561265,2016,1142
11243,909233,2013,1138
4026,398051,2016,1137
9199,753402,2019,1137
10231,832938,2011,1137
2235,259348,2015,1136
610,158491,2010,1133
4474,424257,2014,1133
4024,398051,2014,1132
11199,904916,2019,1132
5462,491146,2012,1125
10037,818030,2017,1125
10941,885174,2011,1124
1075,183144,2015,1123
3901,388684,2011,1120
11586,935752,2016,1117
1243,192850,2013,1112
1074,183144,2014,1111
1242,192850,2012,1109
1077,183144,2017,1105
4027,398051,2017,1105
805,170096,2015,1101
4930,456109,2010,1101
6992,602900,2012,1101
10038,818030,2018,1099
12103,975321,2013,1098
11198,904916,2018,1097
529,152363,2019,1095
1076,183144,2016,1094
1615,216249,2015,1092
11763,947167,2013,1091
1749,223052,2019,1088
11589,935752,2019,1086
9197,753402,2017,1085
1617,216249,2017,1084
10035,818030,2015,1081
4021,398051,2011,1080
806,170096,2016,1078
3909,388684,2019,1074
4022,398051,2012,1074
6401,561265,2011,1074
6551,572639,2011,1074
3907,388684,2017,1070
6400,561265,2010,1070
11196,904916,2016,1069
2236,259348,2016,1068
3906,388684,2016,1064
1244,192850,2014,1063
8475,705030,2015,1062
9464,772675,2014,1062
2237,259348,2017,1059
4020,398051,2010,1058
807,170096,2017,1057
1611,216249,2011,1057
6991,602900,2011,1057
729,164985,2019,1054
3900,388684,2010,1054
5464,491146,2014,1054
5460,491146,2010,1052
11762,947167,2012,1050
2239,259348,2019,1049
9982,812640,2012,1047
11953,962319,2013,1046
4299,412952,2019,1040
6409,561265,2019,1040
1612,216249,2012,1039
11010,888137,2010,1039
1245,192850,2015,1037
7596,642497,2016,1037
4614,434530,2014,1036
4028,398051,2018,1034
11197,904916,2017,1034
3904,388684,2014,1033
11017,888137,2017,1033
3903,388684,2013,1032
6403,561265,2013,1030
7896,663199,2016,1030
3908,388684,2018,1028
808,170096,2018,1027
10232,832938,2012,1025
2238,259348,2018,1024
4029,398051,2019,1022
12106,975321,2016,1022
3104,335137,2014,1021
3081,333746,2011,1020
6404,561265,2014,1020
11242,909233,2012,1020
2230,259348,2010,1018
1614,216249,2014,1017
3103,335137,2013,1015
1071,183144,2011,1014
9981,812640,2011,1014
6405,561265,2015,1013
3075,331649,2015,1012
5796,518137,2016,1011
3080,333746,2010,1010
10039,818030,2019,1008
5461,491146,2011,1007
6990,602900,2010,1007
7189,613816,2019,1007
11440,927399,2010,1007
4296,412952,2016,1004
1616,216249,2016,1003
3902,388684,2012,1003
10940,885174,2010,1003
1618,216249,2018,1002
3107,335137,2017,1002
1065,182883,2015,1001
3073,331649,2013,1001
1610,216249,2010,1000
12104,975321,2014,999
5795,518137,2015,998
7188,613816,2018,998
758,167126,2018,996
6340,555388,2010,996
9463,772675,2013,994
11195,904916,2015,994
11952,962319,2012,994
11015,888137,2015,993
2234,259348,2014,992
9196,753402,2016,992
3082,333746,2012,991
12288,993109,2018,990
11959,962319,2019,988
1389,199251,2019,987
3077,331649,2017,987
3106,335137,2016,987
4613,434530,2013,986
3105,335137,2015,985
1679,219387,2019,984
7597,642497,2017,984
3087,333746,2017,982
3905,388684,2015,981
7187,613816,2017,980
12105,975321,2015,980
759,167126,2019,977
3109,335137,2019,976
11588,935752,2018,976
11014,888137,2014,975
9153,750089,2013,974
9922,808406,2012,974
9920,808406,2010,972
11241,909233,2011,972
9462,772675,2012,970
12100,975321,2010,970
6402,561265,2012,969
7897,663199,2017,969
3089,333746,2019,968
4931,456109,2011,967
4610,434530,2010,966
9194,753402,2014,966
10336,837313,2016,966
3076,331649,2016,963
12289,993109,2019,963
12102,975321,2012,961
12287,993109,2017,959
1678,219387,2018,958
3078,331649,2018,958
3079,331649,2019,958
4290,412952,2010,957
809,170096,2019,955
12101,975321,2011,953
3108,335137,2018,952
10337,837313,2017,952
1064,182883,2014,951
9923,808406,2013,950
5794,518137,2014,949
6408,561265,2018,949
7186,613816,2016,949
7354,625540,2014,949
10307,835776,2017,949
1388,199251,2018,948
1219,190310,2019,947
3074,331649,2014,944
4611,434530,2011,943
11760,947167,2010,943
3100,335137,2010,941
4169,406108,2019,941
3083,333746,2013,940
11011,888137,2011,940
4295,412952,2015,938
3088,333746,2018,936
7595,642497,2015,935
11951,962319,2011,934
754,167126,2014,932
4294,412952,2014,932
9154,750089,2014,932
2233,259348,2013,931
6998,602900,2018,931
10338,837313,2018,930
753,167126,2013,928
11012,888137,2012,928
11443,927399,2013,928
11491,928212,2011,928
6550,572639,2010,927
4298,412952,2018,926
4297,412952,2017,925
4473,424257,2013,925
10178,828397,2018,925
9155,750089,2015,923
9195,753402,2015,922
11018,888137,2018,922
12286,993109,2016,921
7893,663199,2013,919
1709,221364,2019,918
4619,434530,2019,918
11442,927399,2012,918
5466,491146,2016,917
9980,812640,2010,916
10176,828397,2016,916
6938,597303,2018,915
9921,808406,2011,914
11249,909233,2019,914
4615,434530,2015,913
10339,837313,2019,913
11013,888137,2013,913
4291,412952,2011,912
10177,828397,2017,912
750,167126,2010,911
3086,333746,2016,911
10308,835776,2018,909
756,167126,2016,908
4616,434530,2016,907
10179,828397,2019,907
11761,947167,2011,906
6939,597303,2019,905
1619,216249,2019,903
7353,625540,2013,903
9928,808406,2018,903
11240,909233,2010,902
4612,434530,2012,900
10309,835776,2019,900
2232,259348,2012,899
10335,837313,2015,899
10806,873980,2016,894
10619,861281,2019,893
9028,743802,2018,892
11584,935752,2014,892
9461,772675,2011,891
12285,993109,2015,889
11580,935752,2010,888
6997,602900,2017,887
9158,750089,2018,886
757,167126,2017,885
1067,182883,2017,885
1218,190310,2018,885
11950,962319,2010,884
9193,753402,2013,883
10805,873980,2015,883
7895,663199,2015,882
