,surgid,surgyear,total cardiac surgery
1379,140478,2019,896.00
1378,140478,2018,873.00
23375,740244,2015,864.00
1377,140478,2017,787.00
1376,140478,2016,779.00
4245,209870,2015,694.00
4244,209870,2014,691.00
22160,705469,2010,686.00
1375,140478,2015,678.00
1418,141718,2018,645.00
4241,209870,2011,641.00
4243,209870,2013,632.00
1417,141718,2017,616.00
1416,141718,2016,611.00
4246,209870,2016,604.00
1419,141718,2019,584.00
4240,209870,2010,584.00
4242,209870,2012,575.00
1374,140478,2014,570.00
1413,141718,2013,568.00
32375,959528,2015,559.00
27634,845082,2014,554.00
1412,141718,2012,553.00
27633,845082,2013,553.00
1414,141718,2014,549.00
1411,141718,2011,537.00
4249,209870,2019,534.00
27632,845082,2012,533.00
5727,248619,2017,526.00
23376,740244,2016,517.00
23373,740244,2013,510.00
1415,141718,2015,507.00
6469,268179,2019,505.00
5728,248619,2018,499.00
27599,844380,2019,487.00
23374,740244,2014,486.00
28178,858547,2018,481.00
31045,930104,2015,481.00
31044,930104,2014,477.00
33389,993802,2019,476.00
13582,466457,2012,475.00
29467,889003,2017,475.00
31046,930104,2016,472.00
33382,993802,2012,472.00
229,106307,2019,469.00
1410,141718,2010,468.00
33106,986831,2016,468.00
31040,930104,2010,463.00
22444,714248,2014,462.00
33109,986831,2019,460.00
61,101555,2011,459.00
22169,705469,2019,457.00
31043,930104,2013,457.00
32376,959528,2016,456.00
5726,248619,2016,454.00
28179,858547,2019,454.00
28177,858547,2017,453.00
23372,740244,2012,452.00
22443,714248,2013,449.00
33383,993802,2013,446.00
63,101555,2013,445.00
4009,204500,2019,445.00
7466,295121,2016,445.00
8523,324249,2013,443.00
23371,740244,2011,443.00
31042,930104,2012,439.00
33381,993802,2011,439.00
33385,993802,2015,439.00
3068,179236,2018,435.00
33387,993802,2017,435.00
4008,204500,2018,433.00
6468,268179,2018,431.00
29469,889003,2019,430.00
31041,930104,2011,430.00
33380,993802,2010,430.00
33388,993802,2018,430.00
818,125557,2018,429.00
1373,140478,2013,429.00
27631,845082,2011,429.00
22441,714248,2011,427.00
22442,714248,2012,426.00
30476,919726,2016,425.00
33107,986831,2017,425.00
60,101555,2010,424.00
22449,714248,2019,424.00
28535,868128,2015,424.00
5725,248619,2015,423.00
3067,179236,2017,421.00
13580,466457,2010,421.00
18775,611059,2015,421.00
22448,714248,2018,421.00
23377,740244,2017,421.00
23919,756426,2019,421.00
25190,786253,2010,421.00
3065,179236,2015,420.00
26412,817051,2012,420.00
26413,817051,2013,420.00
27630,845082,2010,420.00
6467,268179,2017,419.00
32569,964834,2019,418.00
3066,179236,2016,417.00
13585,466457,2015,417.00
33384,993802,2014,417.00
32377,959528,2017,416.00
13583,466457,2013,415.00
31364,937146,2014,415.00
11404,407512,2014,414.00
22447,714248,2017,414.00
23378,740244,2018,414.00
28534,868128,2014,414.00
18776,611059,2016,413.00
28852,876420,2012,413.00
13581,466457,2011,412.00
33386,993802,2016,412.00
6466,268179,2016,411.00
7460,295121,2010,411.00
13584,466457,2014,409.00
23379,740244,2019,409.00
5308,237064,2018,408.00
33103,986831,2013,408.00
22440,714248,2010,407.00
32568,964834,2018,407.00
33104,986831,2014,407.00
11265,402607,2015,406.00
227,106307,2017,405.00
27598,844380,2018,405.00
28533,868128,2013,405.00
5919,254008,2019,404.00
30477,919726,2017,404.00
31274,934943,2014,404.00
228,106307,2018,403.00
22445,714248,2015,403.00
11514,409039,2014,402.00
24258,764843,2018,402.00
3063,179236,2013,399.00
6585,270937,2015,399.00
28854,876420,2014,398.00
32378,959528,2018,398.00
25213,786846,2013,397.00
6235,260824,2015,396.00
31360,937146,2010,396.00
32252,957518,2012,396.00
368,109864,2018,395.00
19300,624090,2010,395.00
31365,937146,2015,395.00
7463,295121,2013,394.00
11401,407512,2011,394.00
29253,884781,2013,394.00
31048,930104,2018,394.00
817,125557,2017,393.00
369,109864,2019,392.00
31366,937146,2016,392.00
4007,204500,2017,391.00
5307,237064,2017,391.00
8521,324249,2011,391.00
21426,683075,2016,391.00
28853,876420,2013,391.00
29255,884781,2015,391.00
25191,786253,2011,390.00
30361,916708,2011,390.00
31362,937146,2012,390.00
32379,959528,2019,390.00
65,101555,2015,389.00
20100,642663,2010,389.00
28531,868128,2011,389.00
29252,884781,2012,389.00
19301,624090,2011,388.00
19498,628003,2018,388.00
29257,884781,2017,387.00
7465,295121,2015,386.00
13586,466457,2016,386.00
15318,512644,2018,386.00
3080,179700,2010,384.00
6586,270937,2016,384.00
11113,397601,2013,384.00
25219,786846,2019,384.00
18773,611059,2013,383.00
62,101555,2012,382.00
3064,179236,2014,382.00
22446,714248,2016,382.00
8524,324249,2014,381.00
30478,919726,2018,381.00
819,125557,2019,380.00
8522,324249,2012,380.00
11264,402607,2014,379.00
18875,614129,2015,379.00
28027,854373,2017,379.00
29930,902958,2010,379.00
9913,363514,2013,378.00
28851,876420,2011,378.00
29256,884781,2016,378.00
2533,164406,2013,377.00
11260,402607,2010,377.00
30479,919726,2019,377.00
31275,934943,2015,377.00
32032,953002,2012,377.00
11402,407512,2012,376.00
25216,786846,2016,376.00
29250,884781,2010,376.00
29468,889003,2018,376.00
11518,409039,2018,375.00
17641,577639,2011,375.00
17642,577639,2012,375.00
30367,916708,2017,375.00
31019,928619,2019,375.00
31361,937146,2011,375.00
31363,937146,2013,375.00
6176,259953,2016,374.00
25214,786846,2014,374.00
28850,876420,2010,374.00
6465,268179,2015,373.00
10758,387741,2018,373.00
11517,409039,2017,373.00
26418,817051,2018,373.00
31047,930104,2017,373.00
33108,986831,2018,373.00
4248,209870,2018,372.00
6582,270937,2012,372.00
11403,407512,2013,372.00
11516,409039,2016,372.00
26417,817051,2017,372.00
11116,397601,2016,371.00
20835,665376,2015,371.00
32495,962976,2015,371.00
31273,934943,2013,370.00
11266,402607,2016,369.00
17644,577639,2014,369.00
27049,829061,2019,369.00
28855,876420,2015,369.00
29251,884781,2011,369.00
31958,949931,2018,369.00
6584,270937,2014,368.00
11515,409039,2015,368.00
23370,740244,2010,368.00
25218,786846,2018,368.00
23630,746898,2010,367.00
27820,849821,2010,367.00
29254,884781,2014,367.00
31018,928619,2018,367.00
2769,171645,2019,366.00
8520,324249,2010,366.00
9912,363514,2012,366.00
10316,374373,2016,366.00
21876,696392,2016,366.00
23441,743452,2011,366.00
26414,817051,2014,366.00
11400,407512,2010,365.00
18777,611059,2017,365.00
2763,171645,2013,364.00
5690,247717,2010,364.00
6583,270937,2013,364.00
9911,363514,2011,364.00
9914,363514,2014,364.00
22168,705469,2018,364.00
27821,849821,2011,364.00
28530,868128,2010,364.00
64,101555,2014,363.00
2530,164406,2010,363.00
6173,259953,2013,363.00
18771,611059,2011,363.00
32493,962976,2013,363.00
11405,407512,2015,362.00
24257,764843,2017,362.00
10314,374373,2014,361.00
32031,953002,2011,361.00
33105,986831,2015,361.00
226,106307,2016,360.00
10313,374373,2013,360.00
17643,577639,2013,360.00
32492,962976,2012,360.00
32508,963826,2018,360.00
816,125557,2016,359.00
4990,230626,2010,359.00
11513,409039,2013,359.00
21694,691029,2014,359.00
21877,696392,2017,359.00
29931,902958,2011,359.00
32509,963826,2019,359.00
1371,140478,2011,358.00
5306,237064,2016,358.00
6174,259953,2014,358.00
9670,357631,2010,358.00
11153,398864,2013,358.00
11263,402607,2013,358.00
26416,817051,2016,358.00
31959,949931,2019,358.00
767,124716,2017,357.00
2760,171645,2010,357.00
10312,374373,2012,357.00
15319,512644,2019,357.00
10183,370595,2013,356.00
11261,402607,2011,356.00
15467,515630,2017,356.00
20944,668023,2014,356.00
23584,746032,2014,356.00
2767,171645,2017,355.00
3082,179700,2012,355.00
