,surgid,total_year_avg,total_year_count,num_of_years,Year_avg_Firstop,Year_sum_Firstop,Year_avg_reop,Year_sum_reop,Mortality,Mortality_reop,Complics,Complics_reop,firstop/total,reop/total,mortalty_rate,mortalty_reop_rate,Complics_reop_rate
0,100562.0,24.5,245.0,10,23.8,238.0,0.7,7.0,5,0.0,102,3.0,97.14285714285714,2.857142857142857,2.0408163265306123,0.0,42.857142857142854
1,101052.0,37.4,374.0,10,35.4,354.0,2.0,20.0,6,0.0,133,7.0,94.6524064171123,5.347593582887701,1.6042780748663104,0.0,35.0
2,101078.0,76.8,768.0,10,72.9,729.0,3.9,39.0,5,0.0,232,13.0,94.921875,5.078125,0.6510416666666667,0.0,33.33333333333333
3,101338.0,62.1,621.0,10,58.0,580.0,4.1,41.0,5,0.0,198,17.0,93.39774557165862,6.602254428341385,0.8051529790660225,0.0,41.46341463414634
4,101555.0,210.3,2103.0,10,197.6,1976.0,12.7,127.0,22,1.0,949,74.0,93.96100808368996,6.038991916310033,1.0461245839277222,0.7874015748031495,58.26771653543307
5,101732.0,145.2,1452.0,10,127.9,1279.0,17.3,173.0,23,6.0,584,84.0,88.08539944903582,11.914600550964186,1.5840220385674932,3.4682080924855487,48.554913294797686
6,101733.0,103.1,1031.0,10,93.7,937.0,9.4,94.0,10,0.0,359,29.0,90.88263821532493,9.117361784675072,0.9699321047526674,0.0,30.851063829787233
7,102244.0,85.8,429.0,5,81.8,409.0,4.0,20.0,7,1.0,200,11.0,95.33799533799534,4.662004662004662,1.6317016317016315,5.0,55.00000000000001
8,102320.0,53.333333333333336,320.0,6,50.5,303.0,2.8333333333333335,17.0,6,0.0,96,5.0,94.6875,5.3125,1.875,0.0,29.411764705882355
9,102688.0,15.8,158.0,10,15.3,153.0,0.5,5.0,5,0.0,58,0.0,96.83544303797468,3.1645569620253164,3.1645569620253164,0.0,0.0
10,102725.0,14.25,57.0,4,13.75,55.0,0.5,2.0,1,1.0,32,1.0,96.49122807017544,3.508771929824561,1.7543859649122806,50.0,50.0
11,103762.0,92.9,929.0,10,87.5,875.0,5.4,54.0,18,0.0,370,24.0,94.18729817007535,5.81270182992465,1.9375672766415502,0.0,44.44444444444444
